name;Gender;Eye color;Race;Hair color;Height ;Publisher;Skin color;Alignment;Weight;Birth Date;Powers
Alex Mercer;Male;-;Human;-;Indefinite;Wildstorm;-;bad;Indefinite;23/01/2003;Agility,Accelerated Healing,Stealth,Energy Absorption,Danger Sense,Marksmanship,Weapons Master,Longevity,Super Strength,Energy Blasts,Stamina,Super Speed
Alex Woolsly;Male;-;-;-;Indefinite;NBC - Heroes;-;good;Indefinite;03/10/1999;Underwater breathing
Alfred Pennyworth;Male;blue;Human;Black;178;DC Comics;-;good;72;18/10/1997;Agility,Cold Resistance,Durability,Stealth,Super Strength,Super Speed
Alien;Male;-;Xenomorph XX121;No Hair;244;Dark Horse Comics;black;bad;169;01/02/2003;Marksmanship
Allan Quatermain;Male;-;-;-;Indefinite;Wildstorm;-;good;Indefinite;09/01/2013;Agility,Lantern Power Ring,Durability,Flight,Underwater breathing,Marksmanship,Power Augmentation,Longevity,Intelligence,Super Strength,Cryokinesis,Telepathy,Energy Blasts,Duplication,Size Changing,Stamina,Super Speed,Weapon-based Powers
Amazo;Male;red;Android;-;257;DC Comics;-;bad;173;28/11/2002;Weapons Master
Ammo;Male;brown;Human;Black;188;Marvel Comics;-;bad;101;09/02/2010;Power Augmentation
Ando Masahashi;Male;-;-;-;Indefinite;NBC - Heroes;-;good;Indefinite;15/02/2014;Agility,Accelerated Healing,Durability,Stealth,Flight,Longevity,Super Strength,Stamina,Super Speed
Angel;Male;blue;-;Blond;183;Marvel Comics;-;good;68;11/05/2004;Agility,Super Strength,Stamina,Super Speed
Angel;Male;-;Vampire;-;Indefinite;Dark Horse Comics;-;good;Indefinite;21/11/2012;Flight,Animal Attributes,Animal Oriented Powers
Angel Dust;Female;yellow;Mutant;Black;165;Marvel Comics;-;good;57;04/06/1996;Longevity
Angel Salvadore;Female;brown;-;Black;163;Marvel Comics;-;good;54;18/01/1999;Animal Attributes,Telepathy,Energy Blasts,Animal Oriented Powers
Angela;Female;-;-;-;Indefinite;Image Comics;-;bad;Indefinite;19/06/2001;Agility,Durability,Flight,Super Strength,Stamina,Super Speed
Animal Man;Male;blue;Human;Blond;183;DC Comics;-;good;83;10/02/1998;Intelligence,Size Changing
Annihilus;Male;green;-;No Hair;180;Marvel Comics;-;bad;90;21/10/2012;Agility,Stealth,Intelligence,Super Strength,Telepathy,Size Changing,Stamina,Animal Oriented Powers
Ant-Man;Male;blue;Human;Blond;211;Marvel Comics;-;good;122;16/01/2014;Accelerated Healing,Dimensional Awareness,Durability,Energy Absorption,Flight,Power Augmentation,Intelligence,Super Strength,Telepathy,Energy Blasts,Size Changing,Darkforce Manipulation
Ant-Man II;Male;blue;Human;Blond;183;Marvel Comics;-;good;86;06/07/1999;Durability,Super Strength,Energy Blasts,Stamina
Anti-Monitor;Male;yellow;God / Eternal;No Hair;61;DC Comics;-;bad;Indefinite;02/08/2002;Accelerated Healing,Durability,Danger Sense,Super Strength,Stamina
Anti-Spawn;Male;-;-;-;Indefinite;Image Comics;-;bad;Indefinite;15/06/2009;Agility,Accelerated Healing,Energy Absorption,Flight,Power Augmentation,Longevity,Super Strength,Telepathy,Energy Blasts,Size Changing,Stamina,Super Speed
Anti-Venom;Male;blue;Symbiote;Blond;229;Marvel Comics;-;-;358;16/08/2009;Underwater breathing,Super Strength
Apocalypse;Male;red;Mutant;Black;213;Marvel Comics;grey;bad;135;19/07/2004;Durability,Underwater breathing,Super Strength,Cryokinesis,Telepathy,Stamina,Super Speed
Aquababy;Male;blue;-;Blond;Indefinite;DC Comics;-;good;Indefinite;16/04/1996;Agility,Accelerated Healing,Cold Resistance,Durability,Stealth,Underwater breathing,Longevity,Intelligence,Super Strength,Telepathy,Stamina,Super Speed
Aqualad;Male;blue;Atlantean;Black;178;DC Comics;-;good;106;25/01/1998;Agility,Accelerated Healing,Durability,Super Strength,Stamina,Super Speed
Aquaman;Male;blue;Atlantean;Blond;185;DC Comics;-;good;146;03/03/2005;Agility,Accelerated Healing,Durability,Flight,Super Strength,Stamina
Arachne;Female;blue;Human;Blond;175;Marvel Comics;-;good;63;13/02/2014;Durability,Super Strength,Stamina
Archangel;Male;blue;Mutant;Blond;183;Marvel Comics;blue;good;68;29/08/2008;Agility,Accelerated Healing,Cold Resistance,Durability,Flight,Super Strength,Energy Blasts,Super Speed
Arclight;Female;violet;-;Purple;173;Marvel Comics;-;bad;57;24/04/1996;Agility,Accelerated Healing,Durability,Super Strength,Stamina,Super Speed
Ardina;Female;white;Alien;Orange;193;Marvel Comics;gold;good;98;26/07/2009;Telepathy
Ares;Male;brown;-;Brown;185;Marvel Comics;-;good;270;28/10/2001;Super Strength,Energy Armor
Ariel;Female;purple;-;Pink;165;Marvel Comics;-;good;59;11/07/2007;Flight,Super Strength,Energy Blasts,Super Speed,Weapon-based Powers
Armor;Female;black;-;Black;163;Marvel Comics;-;good;50;07/10/2010;Durability,Stealth,Intelligence,Super Strength,Size Changing,Stamina,Super Speed
Arsenal;Male;-;Human;-;Indefinite;DC Comics;-;good;Indefinite;09/09/2003;Longevity,Super Strength,Duplication,Stamina,Super Speed
Astro Boy;Male;brown;-;Black;Indefinite;;-;good;Indefinite;03/04/2008;Size Changing
Atlas;Male;brown;Mutant;Red;183;Marvel Comics;-;good;101;12/09/2003;Flight,Super Strength,Size Changing,Density Control
Atlas;Male;blue;God / Eternal;Brown;198;DC Comics;-;bad;126;30/03/1996;Size Changing
Atom;Male;blue;-;Red;178;DC Comics;-;good;68;09/04/2002;Intelligence
Atom;Male;-;-;-;Indefinite;DC Comics;-;good;Indefinite;12/06/2008;Accelerated Healing,Durability,Flight,Energy Blasts,Super Speed
Atom Girl;Female;black;-;Black;168;DC Comics;-;good;54;31/10/1998;Accelerated Healing,Longevity
Atom II;Male;brown;Human;Auburn;183;DC Comics;-;good;81;25/02/2001;Weapons Master,Super Strength,Stamina,Super Speed,Weapon-based Powers
Atom III;Male;-;-;Red;Indefinite;DC Comics;-;good;Indefinite;06/03/2008;Flight,Super Strength,Telepathy,Stamina,Astral Travel,Super Speed
Atom IV;Male;brown;-;Black;Indefinite;DC Comics;-;good;72;20/10/2000;Flight,Super Strength,Super Speed
Aurora;Female;blue;Mutant;Black;180;Marvel Comics;-;good;63;04/11/2008;Durability,Super Strength,Stamina,Super Speed
Azazel;Male;yellow;Neyaphem;Black;183;Marvel Comics;red;bad;67;07/03/2009;Flight,Audio Control
Azrael;Male;brown;Human;Black;Indefinite;DC Comics;-;good;Indefinite;02/11/2004;Durability,Super Strength,Stamina
Aztar;Male;-;-;-;Indefinite;DC Comics;-;good;Indefinite;25/04/2002;Stealth,Marksmanship,Weapons Master,Intelligence,Stamina,Weapon-based Powers
Bane;Male;-;Human;-;203;DC Comics;-;bad;180;21/08/1998;Agility,Stealth,Weapons Master
Banshee;Male;green;Human;Strawberry Blond;183;Marvel Comics;-;good;77;12/02/1996;Agility,Marksmanship,Stamina,Weapon-based Powers
Bantam;Male;brown;-;Black;165;Marvel Comics;-;good;54;30/12/1998;Agility,Durability,Stealth,Underwater breathing,Marksmanship,Weapons Master,Intelligence,Super Strength,Stamina,Super Speed,Weapon-based Powers
Batgirl;Female;-;-;-;Indefinite;DC Comics;-;good;Indefinite;12/08/1996;Agility,Stealth,Marksmanship,Weapons Master,Intelligence,Stamina,Weapon-based Powers
Batgirl;Female;green;Human;Red;170;DC Comics;-;good;57;06/10/1999;Agility,Durability,Super Strength,Stamina,Super Speed
Batgirl III;Female;-;-;-;Indefinite;DC Comics;-;good;Indefinite;27/08/2007;Stealth,Marksmanship,Weapons Master,Intelligence,Stamina,Dexterity
Batgirl IV;Female;green;Human;Black;165;DC Comics;-;good;52;04/09/1997;Flight
Batgirl V;Female;-;-;-;Indefinite;DC Comics;-;good;Indefinite;11/04/2003;Agility,Accelerated Healing,Animal Attributes,Intelligence,Super Strength,Stamina,Dexterity,Super Speed
Batgirl VI;Female;blue;-;Blond;168;DC Comics;-;good;61;22/05/2005;Agility,Durability,Flight,Animal Attributes,Super Strength,Size Changing,Super Speed,Animal Oriented Powers
Batman;Male;blue;Human;black;188;DC Comics;-;good;95;05/12/2002;Omnitrix
Batman;Male;blue;Human;Black;178;DC Comics;-;good;77;01/09/2010;Accelerated Healing,Super Strength,Stamina,Super Speed
Batman II;Male;blue;Human;Black;178;DC Comics;-;good;79;22/06/2005;Accelerated Healing,Dimensional Awareness,Energy Absorption,Flight,Super Strength,Telepathy,Energy Blasts,Size Changing,Super Speed
Battlestar;Male;brown;-;Black;198;Marvel Comics;-;good;133;06/12/2003;Agility,Durability,Flight,Longevity,Super Strength,Stamina
Batwoman V;Female;green;Human;Red;178;DC Comics;-;good;Indefinite;28/06/1995;Stamina
Beak;Male;black;-;White;175;Marvel Comics;-;good;63;03/11/2007;Marksmanship
Beast;Male;blue;Mutant;Blue;180;Marvel Comics;blue;good;181;19/03/2005;Super Strength,Super Speed
Beast Boy;Male;green;Human;Green;173;DC Comics;green;good;68;20/12/2000;Possession
Beetle;Male;-;-;-;Indefinite;Marvel Comics;-;bad;Indefinite;19/05/2011;Durability,Energy Absorption,Flight,Super Strength,Energy Blasts,Super Speed
Ben 10;Male;-;-;-;Indefinite;DC Comics;-;good;Indefinite;07/05/2009;Agility,Durability,Super Strength,Stamina,Super Speed, Omnitrix
Beta Ray Bill;Male;-;-;No Hair;201;Marvel Comics;-;good;216;13/02/1995;Flight,Animal Attributes
Beyonder;Male;-;God / Eternal;-;Indefinite;Marvel Comics;-;good;Indefinite;01/07/2005;Flight,Super Strength,Animal Oriented Powers
Big Barda;Female;blue;New God;Black;188;DC Comics;-;bad;135;09/07/2003;Flight
Big Daddy;Male;-;-;-;Indefinite;Icon Comics;-;good;Indefinite;23/08/2005;Agility,Energy Absorption,Flight,Longevity,Intelligence,Super Strength,Energy Blasts,Stamina
Big Man;Male;blue;-;Brown;165;Marvel Comics;-;bad;71;07/05/2011;Accelerated Healing,Energy Absorption,Super Strength,Energy Blasts,Stamina
Bill Harken;Male;-;Alpha;-;Indefinite;SyFy;-;good;Indefinite;19/02/2001;Agility,Accelerated Healing,Durability,Energy Absorption,Flight,Marksmanship,Longevity,Super Strength,Cryokinesis,Stamina,Super Speed
Billy Kincaid;Male;-;-;-;Indefinite;Image Comics;-;bad;Indefinite;24/10/2003;Agility,Accelerated Healing,Durability,Energy Absorption,Flight,Super Strength,Stamina,Super Speed
Binary;Female;blue;-;Blond;180;Marvel Comics;-;good;54;29/11/2000;Telepathy,Energy Blasts
Bionic Woman;Female;blue;Cyborg;Black;Indefinite;;-;good;Indefinite;29/07/2003;Accelerated Healing,Flight,Longevity,Intelligence,Super Strength,Energy Blasts,Stamina,Super Speed
Bird-Brain;-;-;-;-;Indefinite;Marvel Comics;-;good;Indefinite;24/03/2000;Agility,Durability,Energy Absorption,Flight,Longevity,Super Strength,Telepathy,Energy Blasts,Stamina,Super Speed
Bird-Man;Male;-;Human;-;Indefinite;Marvel Comics;-;bad;Indefinite;07/11/2001;Agility,Stealth,Marksmanship,Weapons Master,Intelligence,Stamina,Audio Control
Bird-Man II;Male;-;Human;-;Indefinite;Marvel Comics;-;bad;Indefinite;27/03/1997;Agility,Super Strength,Stamina,Super Speed
Birdman;Male;-;God / Eternal;-;Indefinite;Hanna-Barbera;-;good;Indefinite;01/02/2004;Agility,Stealth,Flight,Super Strength,Stamina,Super Speed
Bishop;Male;brown;Mutant;No Hair;198;Marvel Comics;-;good;124;14/06/2007;Weapon-based Powers
Bizarro;Male;black;Bizarro;Black;191;DC Comics;white;neutral;155;09/07/2000;Energy Absorption,Flight,Energy Blasts,Electrokinesis
Black Abbott;Male;red;-;Black;Indefinite;Marvel Comics;-;bad;Indefinite;18/06/2001;Darkforce Manipulation
Black Adam;Male;brown;-;Black;191;DC Comics;-;bad;113;24/07/2002;Agility,Cold Resistance,Durability,Stealth,Underwater breathing,Marksmanship,Weapons Master,Super Strength,Energy Blasts,Stamina,Super Speed
Black Bolt;Male;blue;Inhuman;Black;188;Marvel Comics;-;good;95;05/11/2000;Agility,Stealth,Marksmanship,Weapons Master,Stamina
Black Canary;Female;blue;Human;Blond;165;DC Comics;-;good;58;22/05/2000;Flight,Super Speed,Electrokinesis
Black Canary;Female;blue;Metahuman;Blond;170;DC Comics;-;good;59;20/08/2000;Agility,Stealth,Marksmanship,Weapons Master,Longevity,Intelligence,Stamina
Black Cat;Female;green;Human;Blond;178;Marvel Comics;-;good;54;18/08/2001;Agility,Accelerated Healing,Durability,Super Strength,Stamina,Super Speed
Black Flash;Male;-;God / Eternal;-;Indefinite;DC Comics;-;neutral;Indefinite;06/09/2003;Flight,Telepathy
Black Goliath;Male;-;-;-;Indefinite;Marvel Comics;-;good;Indefinite;07/07/2007;Durability,Super Strength,Energy Blasts
Black Knight III;Male;brown;Human;Brown;183;Marvel Comics;-;good;86;04/05/2002;Agility,Accelerated Healing,Weapons Master,Super Strength,Stamina,Super Speed
Black Lightning;Male;brown;-;No Hair;185;DC Comics;-;good;90;16/12/2002;Durability
Black Mamba;Female;green;-;Black;170;Marvel Comics;-;bad;52;15/02/2000;Cryokinesis,Weapon-based Powers
Black Manta;Male;black;Human;No Hair;188;DC Comics;-;bad;92;03/07/1997;Cryokinesis
Black Panther;Male;brown;Human;Black;183;Marvel Comics;-;good;90;17/07/2000;Durability,Super Strength
Black Widow;Female;green;Human;Auburn;170;Marvel Comics;-;good;59;15/03/1996;Agility,Durability,Super Strength,Cryokinesis,Energy Blasts,Stamina,Super Speed,Weapon-based Powers
Black Widow II;Female;blue;-;Blond;170;Marvel Comics;-;good;61;12/03/2006;Flight
Blackout;Male;red;Demon;White;191;Marvel Comics;white;bad;104;04/03/1998;Energy Absorption,Weapons Master,Super Strength,Energy Blasts,Weapon-based Powers
Blackwing;Male;blue;-;Black;185;Marvel Comics;-;bad;86;08/05/2007;Flight,Super Strength,Energy Blasts
Blackwulf;Male;red;Alien;White;188;Marvel Comics;-;-;88;14/04/1997;Intelligence
Blade;Male;brown;Vampire;Black;188;Marvel Comics;-;good;97;29/08/1999;Agility,Accelerated Healing,Cold Resistance,Flight,Super Strength,Energy Blasts
Blaquesmith;-;black;-;No Hair;Indefinite;Marvel Comics;-;good;Indefinite;02/01/2013;Accelerated Healing,Super Speed
Bling!;Female;-;-;-;168;Marvel Comics;-;good;68;13/07/2012;Agility,Stealth,Flight,Marksmanship,Weapons Master,Intelligence,Stamina
Blink;Female;green;Mutant;Magenta;165;Marvel Comics;pink;good;56;14/07/2012;Accelerated Healing,Energy Blasts
Blizzard;Male;-;-;-;Indefinite;Marvel Comics;-;bad;Indefinite;29/10/2003;Agility,Energy Absorption,Energy Blasts
Blizzard;Male;-;-;Brown;Indefinite;Marvel Comics;-;bad;Indefinite;06/07/1999;Agility,Durability,Flight,Weapons Master,Longevity,Intelligence,Super Strength,Energy Blasts
Blizzard II;Male;brown;-;Brown;175;Marvel Comics;-;bad;77;01/06/2003;Electrokinesis
Blob;Male;brown;-;Brown;178;Marvel Comics;-;bad;230;12/07/1999;Durability,Flight,Longevity,Intelligence,Super Strength,Telepathy,Super Speed
Bloodaxe;Female;blue;Human;Brown;218;Marvel Comics;-;bad;495;16/12/1999;Intelligence
Bloodhawk;Male;black;Mutant;No Hair;Indefinite;Marvel Comics;-;good;Indefinite;13/11/1997;Agility,Stealth,Super Strength,Stamina
Bloodwraith;Male;white;-;No Hair;305;Marvel Comics;-;bad;Indefinite;13/06/2003;Agility,Accelerated Healing,Durability,Stealth,Danger Sense,Super Strength,Stamina,Super Speed
Blue Beetle;Male;blue;-;Brown;Indefinite;DC Comics;-;good;Indefinite;16/08/1999;Durability,Marksmanship,Weapons Master
Blue Beetle;Male;-;-;-;Indefinite;DC Comics;-;good;Indefinite;20/05/2010;Stealth,Flight,Intelligence,Super Strength,Energy Blasts,Size Changing,Stamina,Electrokinesis
Blue Beetle II;Male;blue;-;Brown;183;DC Comics;-;good;86;18/12/1997;Flight,Telepathy
Blue Beetle III;Male;brown;Human;Black;Indefinite;DC Comics;-;good;Indefinite;30/06/2005;Agility,Weapons Master
Boba Fett;Male;brown;Human / Clone;Black;183;George Lucas;-;bad;Indefinite;08/02/2007;Agility,Accelerated Healing,Durability,Stealth,Flight,Marksmanship,Weapons Master,Intelligence,Super Strength,Telepathy,Energy Blasts,Stamina,Dexterity,Super Speed
Bolt;Male;-;-;-;Indefinite;Marvel Comics;-;good;Indefinite;20/02/2004;Agility,Accelerated Healing,Super Strength
Bomb Queen;Female;-;-;-;Indefinite;Image Comics;-;bad;Indefinite;07/12/1996;Marksmanship
Boom-Boom;Female;blue;Mutant;Blond;165;Marvel Comics;-;good;55;27/01/2007;Energy Absorption,Flight,Energy Armor,Super Speed
Boomer;Female;-;-;-;Indefinite;Marvel Comics;-;good;Indefinite;09/01/2001;Agility,Durability,Stealth,Marksmanship,Weapons Master,Longevity,Stamina,Weapon-based Powers
Booster Gold;Male;blue;Human;Blond;196;DC Comics;-;good;97;10/01/2006;Agility,Accelerated Healing,Energy Absorption,Flight,Weapons Master,Super Strength,Energy Blasts,Super Speed
Box;Male;-;-;-;Indefinite;Marvel Comics;-;good;Indefinite;27/09/2003;Agility,Durability,Stealth,Flight,Super Strength,Stamina,Super Speed
Box III;-;blue;-;Blond;193;Marvel Comics;-;good;110;23/12/2010;Cryokinesis,Weapon-based Powers
Box IV;-;brown;-;Brown / Black;Indefinite;Marvel Comics;-;good;Indefinite;04/01/2004;Super Strength,Super Speed
Brainiac;Male;green;Android;No Hair;198;DC Comics;green;bad;135;20/04/1995;Flight,Super Speed
Brainiac 5;Male;green;-;Blond;170;DC Comics;-;good;61;23/03/2008;Agility,Accelerated Healing,Cold Resistance,Durability,Energy Absorption,Flight,Danger Sense,Marksmanship,Longevity,Intelligence,Super Strength,Energy Blasts,Stamina,Super Speed
Brother Voodoo;Male;brown;Human;Brown / White;183;Marvel Comics;-;good;99;11/06/1998;Intelligence,Super Strength
Brundlefly;Male;-;Mutant;-;193;;-;-;Indefinite;14/10/2012;Stealth,Flight,Marksmanship,Intelligence
Buffy;Female;green;Human;Blond;157;Dark Horse Comics;-;good;52;11/02/2006;Flight,Super Strength,Cryokinesis,Telepathy,Energy Blasts,Stamina,Super Speed,Electrokinesis
Bullseye;Male;blue;Human;blond;183;Marvel Comics;-;bad;90;30/12/2010;Cold Resistance,Flight,Power Augmentation,Energy Blasts
Bumblebee;Female;brown;Human;Black;170;DC Comics;-;good;59;17/12/2009;Agility,Accelerated Healing,Durability,Danger Sense,Super Strength,Stamina,Super Speed,Weapon-based Powers
Bumbleboy;Male;-;-;-;Indefinite;Marvel Comics;-;good;Indefinite;02/02/2006;Agility,Super Strength,Stamina
Bushido;Male;-;Human;-;Indefinite;DC Comics;-;good;Indefinite;18/10/1999;Agility,Stealth,Marksmanship,Animal Attributes,Stamina,Dexterity
Cable;Male;blue;Mutant;White;203;Marvel Comics;-;good;158;18/01/2004;Telepathy
Callisto;Female;blue;-;Black;175;Marvel Comics;-;bad;74;01/04/2009;Telepathy
Cameron Hicks;Male;-;Alpha;-;Indefinite;SyFy;-;good;Indefinite;19/06/1995;Agility,Stealth,Stamina,Animal Oriented Powers
Cannonball;Male;blue;-;Blond;183;Marvel Comics;-;good;81;14/11/2000;Agility,Super Strength,Stamina,Super Speed,Animal Oriented Powers
Captain America;Male;blue;Human;blond;188;Marvel Comics;-;good;108;04/01/2007;Agility,Durability,Stealth,Animal Attributes,Intelligence,Super Strength,Stamina,Super Speed,Animal Oriented Powers
Captain Atom;Male;blue;Human / Radiation;Silver;193;DC Comics;silver;good;90;05/01/2004;Agility,Super Strength,Energy Blasts,Stamina
Captain Britain;Male;blue;Human;Blond;198;Marvel Comics;-;good;116;07/07/1997;Agility,Durability,Super Strength,Super Speed
Captain Cold;Male;brown;Human;Brown;Indefinite;DC Comics;-;neutral;Indefinite;23/12/2013;Accelerated Healing
Captain Epic;Male;blue;-;Brown;188;Team Epic TV;-;good;Indefinite;08/06/2011;Agility,Super Strength,Size Changing,Density Control,Stamina,Super Speed
Captain Hindsight;Male;-;Human;Black;Indefinite;South Park;-;good;Indefinite;02/02/1996;Dimensional Awareness,Darkforce Manipulation
Captain Mar-vell;Male;blue;-;Blond;188;Marvel Comics;-;good;108;09/01/2003;Cold Resistance,Durability,Super Strength,Stamina,Super Speed
Captain Marvel;Female;blue;Human-Kree;Blond;180;Marvel Comics;-;good;74;18/11/2010;Super Strength,Stamina
Captain Marvel;Male;blue;Human;Black;193;DC Comics;-;good;101;19/02/1995;Stealth,Weapons Master
Captain Marvel II;Male;blue;Human;Black;175;DC Comics;-;good;74;16/07/2012;Super Strength
Captain Midnight;Male;-;Human;-;Indefinite;Dark Horse Comics;-;good;Indefinite;19/11/1999;Flight,Longevity
Captain Planet;Male;red;God / Eternal;Green;Indefinite;Marvel Comics;-;good;Indefinite;16/11/2009;Durability,Flight,Super Strength,Energy Blasts
Captain Universe;-;-;God / Eternal;-;Indefinite;Marvel Comics;-;good;Indefinite;04/02/2011;Super Strength,Stamina,Super Speed
Carnage;Male;green;Symbiote;Red;185;Marvel Comics;-;bad;86;05/10/1999;Intelligence,Energy Blasts
Cat;Female;blue;-;Blond;173;Marvel Comics;-;good;61;24/01/2008;Animal Attributes,Super Strength,Stamina,Dexterity,Super Speed
Cat II;Female;-;-;-;Indefinite;Marvel Comics;-;good;Indefinite;30/11/2009;Durability,Flight,Super Strength,Stamina,Super Speed,Weapon-based Powers
Catwoman;Female;green;Human;Black;175;DC Comics;-;good;61;15/05/2012;Durability,Energy Absorption,Flight,Super Strength,Stamina,Super Speed
Cecilia Reyes;-;brown;-;Brown;170;Marvel Comics;-;good;62;13/10/2005;Agility,Energy Absorption,Marksmanship,Intelligence,Energy Blasts
Century;Male;white;Alien;White;201;Marvel Comics;grey;good;97;06/09/1995;Energy Blasts
Cerebra;Female;-;Mutant;-;Indefinite;Marvel Comics;-;good;Indefinite;07/04/1998;Telepathy
Chamber;Male;brown;Mutant;Brown;175;Marvel Comics;-;good;63;07/04/1999;Agility,Stealth,Marksmanship,Weapons Master,Intelligence,Telepathy,Stamina
Chameleon;Male;-;-;-;Indefinite;DC Comics;-;bad;Indefinite;27/03/2010;Durability,Flight,Energy Blasts,Weapon-based Powers
Changeling;Male;brown;-;Black;180;Marvel Comics;-;bad;81;02/05/2006;Durability,Intelligence,Super Strength
Cheetah;Female;green;Human;Blond;163;DC Comics;-;bad;50;05/11/2009;Agility,Accelerated Healing,Dimensional Awareness,Flight,Marksmanship,Intelligence,Super Strength,Telepathy,Energy Blasts,Size Changing,Stamina,Super Speed
Cheetah II;Female;green;Human;Brown;170;DC Comics;-;bad;55;16/09/2003;Flight,Energy Blasts
Cheetah III;Female;brown;Human;Brown;175;DC Comics;-;bad;54;14/11/1999;Agility,Durability,Stealth,Danger Sense,Marksmanship,Weapons Master,Super Strength,Telepathy,Stamina,Electrokinesis,Darkforce Manipulation
Chromos;Male;brown;-;Red / Grey;185;Team Epic TV;-;bad;86;30/10/2009;Agility,Accelerated Healing,Durability,Stealth,Danger Sense,Marksmanship,Weapons Master,Intelligence,Telepathy,Energy Blasts,Super Speed,Electrokinesis
Chuck Norris;Male;-;-;-;178;;-;good;Indefinite;18/03/1997;Agility,Stamina,Super Speed
Citizen Steel;Male;green;Human;Red;183;DC Comics;-;good;170;06/11/2004;Agility,Cold Resistance,Durability,Longevity,Intelligence,Super Strength,Super Speed
Claire Bennet;Female;blue;-;Blond;Indefinite;NBC - Heroes;-;good;Indefinite;10/06/1995;Agility,Energy Absorption,Marksmanship,Energy Blasts,Stamina,Audio Control
Clea;-;-;-;White;Indefinite;Marvel Comics;-;good;Indefinite;24/02/2013;Agility,Lantern Power Ring,Flight,Stamina,Possession
Cloak;Male;brown;-;black;226;Marvel Comics;-;good;70;02/07/2011;Agility,Accelerated Healing,Dimensional Awareness,Stealth,Marksmanship,Weapons Master,Longevity,Stamina,Weapon-based Powers
Clock King;Male;blue;Human;Black;178;DC Comics;-;bad;78;28/03/2008;Stealth,Marksmanship,Weapons Master,Stamina
Cogliostro;Male;-;-;-;Indefinite;Image Comics;-;bad;Indefinite;04/03/2009;Agility,Durability,Intelligence,Super Strength,Stamina,Super Speed
Colin Wagner;Male;grey;-;Brown;Indefinite;HarperCollins;-;good;Indefinite;12/06/2013;Agility,Accelerated Healing,Durability,Weapons Master,Longevity,Super Strength,Super Speed,Weapon-based Powers
Colossal Boy;Male;-;-;-;Indefinite;DC Comics;-;good;Indefinite;12/01/2012;Agility,Super Strength
Colossus;Male;silver;Mutant;Black;226;Marvel Comics;-;good;225;06/04/2004;Agility,Super Strength,Telepathy,Stamina,Super Speed
Copycat;Female;red;Mutant;White;183;Marvel Comics;blue;neutral;67;19/10/2004;Super Strength,Energy Blasts,Size Changing
Corsair;Male;brown;-;Brown;191;Marvel Comics;-;good;79;04/08/2007;Marksmanship,Weapons Master
Cottonmouth;Male;brown;Human;Black;183;Marvel Comics;-;bad;99;27/09/2001;Durability,Super Strength,Stamina
Crimson Crusader;Male;blue;-;Strawberry Blond;Indefinite;Marvel Comics;-;good;Indefinite;29/03/2003;Durability,Flight,Super Strength,Energy Blasts,Stamina,Astral Travel,Super Speed,Weapon-based Powers,Electrokinesis
Crimson Dynamo;Male;brown;-;No Hair;180;Marvel Comics;-;good;104;30/10/2007;Flight,Super Strength,Energy Blasts
Crystal;Female;green;Inhuman;Red;168;Marvel Comics;-;good;50;20/11/2006;Accelerated Healing,Dimensional Awareness,Flight,Longevity,Super Strength,Telepathy,Energy Blasts,Super Speed
